,City,City ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Jamestown,5122534,0,US,1659498466,71,42.097,-79.2353,64.04,1.99
1,Ribeira Grande,3372707,85,PT,1659498689,87,38.5167,-28.7,74.8,14.88
2,Kaitangata,2208248,28,NZ,1659498689,71,-46.2817,169.8464,50.77,12.1
3,Rocha,3440777,85,UY,1659498181,93,-34.4833,-54.3333,54.03,3.31
4,Mataura,6201424,68,NZ,1659498690,80,-46.1927,168.8643,44.47,7.38
5,Punta Arenas,3874787,75,CL,1659498690,100,-53.15,-70.9167,32.11,2.3
6,Port Alfred,964432,9,ZA,1659498690,55,-33.5906,26.891,65.71,7.96
7,Kurumkan,2021188,99,RU,1659498691,62,54.3,110.3,73.17,2.86
8,Bassila,2395261,100,BJ,1659498691,98,9.0081,1.6654,68.02,2.75
9,Ostrovnoy,556268,100,RU,1659498691,99,68.0531,39.5131,52.7,4.99
10,La Asuncion,3480908,82,VE,1659498692,94,11.0333,-63.8628,80.33,11.5
11,Izhmorskiy,1505228,100,RU,1659498692,69,56.194,86.6414,57.42,5.55
12,Bluff,2206939,47,NZ,1659498692,72,-46.6,168.3333,44.8,28.07
13,Warrington,2634739,40,GB,1659498573,83,53.3925,-2.5802,66.61,18.41
14,Lagoa,3372964,94,PT,1659498145,86,39.05,-27.9833,73.92,15.23
15,Eilat,295277,0,IL,1659498693,42,29.5581,34.9482,85.84,13.8
16,Goderich,5962442,5,CA,1659498641,94,43.7501,-81.7165,59.92,3.44
17,Marion,4260977,0,US,1659498693,89,39.7684,-86.1555,73.04,5.75
18,Dikson,1507390,100,RU,1659498694,86,73.5069,80.5464,45.16,16.04
19,Rawson,3839307,3,AR,1659498329,63,-43.3002,-65.1023,41.74,8.97
20,Yangi Marg`ilon,1513491,7,UZ,1659498694,50,40.4272,71.7189,77.72,2.3
21,Kopervik,3149512,100,NO,1659498694,94,59.2835,5.3067,62.91,13.8
22,Cidreira,3466165,78,BR,1659498695,92,-30.1811,-50.2056,60.69,12.33
23,Yellowknife,6185377,20,CA,1659498695,34,62.456,-114.3525,66.72,3.44
24,Bambous Virieux,1106677,40,MU,1659498696,83,-20.3428,57.7575,68.25,8.05
25,Alice Springs,2077895,23,AU,1659498178,16,-23.7,133.8833,87.35,19.57
26,Rikitea,4030556,57,PF,1659498696,71,-23.1203,-134.9692,72.52,19.42
27,Cape Town,3369157,40,ZA,1659498526,87,-33.9258,18.4232,57.38,1.99
28,Mount Gambier,2156643,100,AU,1659498696,67,-37.8333,140.7667,60.71,20.71
29,Clyde River,5924351,100,CA,1659498697,100,70.4692,-68.5914,37.63,10.36
30,Kruisfontein,986717,8,ZA,1659498697,61,-34.0033,24.7314,56.43,5.95
31,Deniliquin,2169068,25,AU,1659498363,44,-35.5333,144.9667,69.94,17.47
32,Busselton,2075265,98,AU,1659498697,71,-33.65,115.3333,54.99,31.5
33,Namatanai,2090021,24,PG,1659498341,69,-3.6667,152.4333,83.73,9.53
34,Husavik,2629833,100,IS,1659498698,98,66.0449,-17.3389,44.85,19.01
35,Sergeevka,1519385,54,KZ,1659498698,63,53.88,67.4158,66.97,10.27
36,Bredasdorp,1015776,15,ZA,1659498699,89,-34.5322,20.0403,48.34,3.98
37,Sosnovo-Ozerskoye,2016216,97,RU,1659498123,51,52.5249,111.5418,72.99,10.98
38,Hithadhoo,1282256,98,MV,1659498699,75,-0.6,73.0833,80.22,11.21
39,Chui,3443061,95,UY,1659498699,95,-33.6971,-53.4616,55.22,5.21
40,Airai,1651810,93,TL,1659498700,33,-8.9266,125.4092,76.69,2.95
41,Lavrentiya,4031637,16,RU,1659498700,59,65.5833,-171.0,56.91,9.24
42,Brigantine,4500920,0,US,1659498205,79,39.4101,-74.3646,81.0,6.91
43,Kapaa,5848280,40,US,1659498700,70,22.0752,-159.319,82.72,16.11
44,Mailsi,1171502,8,PK,1659498701,46,29.8003,72.1758,96.46,9.26
45,The Valley,3573374,8,AI,1659498664,75,18.217,-63.0578,82.81,16.91
46,East London,1006984,91,ZA,1659498701,57,-33.0153,27.9116,66.47,4.56
47,Hermanus,3366880,12,ZA,1659498702,86,-34.4187,19.2345,50.81,1.9
48,Anjozorobe,1073482,69,MG,1659498702,87,-18.4,47.8667,51.08,7.23
49,Padang,1633419,100,ID,1659497982,77,-0.9492,100.3543,80.65,2.26
50,Lebu,3883457,6,CL,1659498702,84,-37.6167,-73.65,45.39,12.5
51,Vila Franca do Campo,3372472,71,PT,1659498703,77,37.7167,-25.4333,68.41,2.64
52,Vanderhoof,6173361,100,CA,1659498612,57,54.0166,-124.0198,62.42,10.65
53,Guerrero Negro,4021858,18,MX,1659498703,81,27.9769,-114.0611,71.74,13.62
54,Nikolskoye,546105,31,RU,1659498703,83,59.7035,30.7861,62.87,5.41
55,Hong Kong,1819729,100,HK,1659498588,81,22.2855,114.1577,86.38,5.99
56,Hickory,4470778,59,US,1659498559,94,35.7332,-81.3412,76.17,1.48
57,La Paz,3911925,75,BO,1659498006,81,-16.5,-68.15,44.58,11.5
58,Iqaluit,5983720,75,CA,1659498704,93,63.7506,-68.5145,40.73,4.61
59,Ushuaia,3833367,100,AR,1659498695,93,-54.8,-68.3,35.26,3.44
60,Hobart,2163355,89,AU,1659498704,60,-42.8794,147.3294,60.26,14.97
61,Mar del Plata,3430863,100,AR,1659498653,98,-38.0023,-57.5575,54.09,3.44
62,Mount Isa,2065594,11,AU,1659498126,23,-20.7333,139.5,89.37,10.36
63,George Town,1735106,20,MY,1659498562,84,5.4112,100.3354,80.53,2.3
64,Dolores,3435038,43,AR,1659498705,98,-36.3132,-57.6792,50.2,4.41
65,San Carlos del Zulia,3628489,98,VE,1659498705,96,9.0,-71.9135,73.94,6.13
66,Vaini,4032243,75,TO,1659498705,94,-21.2,-175.2,78.96,11.5
67,San Patricio,4726521,8,US,1659498706,74,28.017,-97.5169,85.89,17.85
68,Poum,2138555,6,NC,1659498706,85,-20.2333,164.0167,75.18,18.61
69,Torbay,6167817,20,CA,1659498312,86,47.6666,-52.7314,63.57,9.22
70,Mareeba,2158767,30,AU,1659498706,66,-17.0,145.4333,80.44,7.85
71,Upernavik,3418910,92,GL,1659498707,81,72.7868,-56.1549,44.26,5.32
72,Port Elizabeth,964420,0,ZA,1659498648,64,-33.918,25.5701,62.31,5.75
73,Castro,3466704,0,BR,1659498294,73,-24.7911,-50.0119,56.84,4.18
74,Hualmay,3939761,45,PE,1659498382,85,-11.0964,-77.6139,61.14,11.92
75,Coquimbo,3893629,100,CL,1659498707,76,-29.9533,-71.3436,53.33,3.44
76,Sistranda,3139597,100,NO,1659498316,82,63.7256,8.834,58.96,13.18
77,Hambantota,1244926,75,LK,1659498708,89,6.1241,81.1185,79.14,12.66
78,Port Lincoln,2063036,4,AU,1659498708,48,-34.7333,135.8667,64.99,32.61
79,Grand Gaube,934479,8,MU,1659498708,77,-20.0064,57.6608,68.4,1.99
80,Étaples,3019441,100,FR,1659498709,100,50.5219,1.6332,63.16,4.61
81,Nioro,2412408,96,GM,1659498204,91,13.35,-15.75,76.1,5.14
82,Sur,286245,83,OM,1659498709,60,22.5667,59.5289,89.94,1.34
83,Faanui,4034551,47,PF,1659498709,68,-16.4833,-151.75,79.02,22.5
84,Fare,4034496,27,PF,1659498710,72,-16.7,-151.0167,78.24,22.48
85,Tarauacá,3661980,98,BR,1659498710,80,-8.1614,-70.7656,76.41,1.48
86,Butaritari,2110227,54,KI,1659498710,78,3.0707,172.7902,81.41,13.8
87,Orlik,1496073,91,RU,1659498353,61,52.5178,99.825,66.18,4.59
88,Thompson,6165406,75,CA,1659498711,100,55.7435,-97.8558,55.56,5.75
89,Anadyr,2127202,20,RU,1659498711,49,64.75,177.4833,70.3,13.42
90,Nova Olímpia,3456137,2,BR,1659498711,35,-14.7972,-57.2881,72.41,3.36
91,Arraial do Cabo,3471451,0,BR,1659498642,89,-22.9661,-42.0278,68.94,6.64
92,Finschhafen,2097418,68,PG,1659498712,68,-6.6024,147.8681,84.4,11.36
93,Tuktoyaktuk,6170031,75,CA,1659498712,87,69.4541,-133.0374,51.8,10.36
94,Avarua,4035715,75,CK,1659498712,60,-21.2078,-159.775,75.25,12.66
95,Gweta,933734,44,BW,1659498713,73,-20.1833,25.2333,55.26,12.82
96,Aswān,359792,0,EG,1659498018,23,24.0934,32.907,85.3,4.61
97,Mahébourg,934322,40,MU,1659498713,83,-20.4081,57.7,68.29,8.05
98,Tasiilaq,3424607,23,GL,1659498304,63,65.6145,-37.6368,41.16,2.51
99,Thinadhoo,1337610,85,MV,1659498714,78,0.5333,72.9333,79.77,11.41
100,Kingaroy,2161376,31,AU,1659498714,50,-26.5333,151.8333,70.99,4.97
101,Cherskiy,2126199,100,RU,1659498714,86,68.75,161.3,50.23,10.02
102,Seoul,1835848,100,KR,1659498489,81,37.5683,126.9778,85.57,9.22
