,City,City ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint-Pierre,935214,0,RE,1659409850,62,-21.3393,55.4781,64.9,8.05
1,Waingapu,1622318,100,ID,1659409901,59,-9.6567,120.2641,85.53,11.5
2,Nara,1855612,69,JP,1659409818,38,34.6851,135.8049,93.9,8.12
3,Busselton,2075265,94,AU,1659409215,68,-33.65,115.3333,54.39,25.39
4,Cape Town,3369157,0,ZA,1659409627,81,-33.9258,18.4232,53.38,1.14
5,Norman Wells,6089245,89,CA,1659409556,45,65.282,-126.8329,69.53,7.36
6,High Prairie,5975034,57,CA,1659409901,86,55.4334,-116.4858,63.73,7.58
7,Rikitea,4030556,8,PF,1659409902,73,-23.1203,-134.9692,73.26,25.28
8,Albany,5106841,24,US,1659409206,76,42.6001,-73.9662,73.72,3.27
9,Khatanga,2022572,100,RU,1659409903,66,71.9667,102.5,48.97,7.16
10,Alice Springs,2077895,40,AU,1659409903,23,-23.7,133.8833,74.75,19.57
11,Grand Gaube,934479,3,MU,1659409903,80,-20.0064,57.6608,66.38,3.0
12,Kimbe,2093967,15,PG,1659409904,51,-5.5502,150.1429,91.67,6.33
13,Ushuaia,3833367,20,AR,1659409904,57,-54.8,-68.3,47.86,16.11
14,Hauterive,3013748,69,FR,1659409905,86,46.0901,3.4459,66.96,1.52
15,Hobart,2163355,40,AU,1659409206,58,-42.8794,147.3294,57.25,16.11
16,Kapaa,5848280,40,US,1659409512,69,22.0752,-159.319,87.78,19.57
17,Toamasina,1053384,91,MG,1659409905,85,-18.1667,49.3833,68.13,7.61
18,Bengkulu,1649150,86,ID,1659409550,82,-3.8004,102.2655,80.19,6.04
19,Isthmia,261721,0,GR,1659409906,65,37.9121,22.9999,80.38,3.04
20,Tiksi,2015306,97,RU,1659409493,78,71.6872,128.8694,45.54,3.13
21,Buala,2109528,64,SB,1659409602,71,-8.145,159.5921,83.88,9.91
22,Fortuna,5563839,0,US,1659409250,77,40.5982,-124.1573,65.91,6.91
23,Bruneck,3181480,100,IT,1659409907,94,46.7958,11.9364,61.95,0.65
24,Pictou,6104221,81,CA,1659409907,90,45.6834,-62.7153,63.34,8.7
25,Chokurdakh,2126123,86,RU,1659409577,58,70.6333,147.9167,59.38,5.75
26,Genhe,2037252,69,CN,1659409907,41,50.7833,121.5167,80.13,9.28
27,Altay,1529651,44,CN,1659409908,31,47.8667,88.1167,77.43,6.49
28,Hithadhoo,1282256,64,MV,1659409493,72,-0.6,73.0833,80.65,12.64
29,Hermanus,3366880,0,ZA,1659409473,68,-34.4187,19.2345,44.8,7.9
30,Paka,1734313,100,MY,1659409908,82,4.6374,103.4368,81.18,3.22
31,Carnarvon,2074865,92,AU,1659409481,59,-24.8667,113.6333,66.54,15.46
32,Hilo,5855927,75,US,1659409387,71,19.7297,-155.09,82.13,6.91
33,Abu Kamal,174448,0,SY,1659409909,24,34.4506,40.9171,90.59,6.24
34,Ilulissat,3423146,84,GL,1659409515,76,69.2167,-51.1,48.22,11.5
35,Djambala,2260401,97,CG,1659409910,60,-2.5447,14.7533,68.77,4.09
36,Punta Arenas,3874787,75,CL,1659409794,57,-53.15,-70.9167,46.51,13.8
37,Ukiah,5404476,0,US,1659409807,63,39.1502,-123.2078,83.44,0.0
38,Sørland,3137469,100,NO,1659409910,76,67.667,12.6934,49.86,12.62
39,Castro,3466704,80,BR,1659409279,75,-24.7911,-50.0119,57.9,1.21
40,Beipiao,2038342,7,CN,1659409911,60,41.7919,120.7792,87.39,6.51
41,Gōtsuchō,1863521,89,JP,1659409911,62,35.0,132.2167,88.65,7.07
42,Padang,1633419,100,ID,1659409578,74,-0.9492,100.3543,75.25,5.01
43,Port Alfred,964432,49,ZA,1659409467,67,-33.5906,26.891,55.22,9.62
