,City,City ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bethel Park,5180199,20,US,1659469532,74,40.3276,-80.0395,82.51,4.61
1,Perth,2063523,75,AU,1659469761,75,-31.9333,115.8333,55.78,19.57
2,Kendari,1640344,96,ID,1659469761,94,-3.945,122.4989,72.43,2.42
3,Anaconda,5637146,87,US,1659469761,21,46.1285,-112.9423,79.79,17.83
4,Bengkulu,1649150,39,ID,1659469714,92,-3.8004,102.2655,74.44,4.56
5,Busselton,2075265,97,AU,1659469762,52,-33.65,115.3333,55.06,27.74
6,Provideniya,4031574,10,RU,1659469696,53,64.3833,-173.3,56.66,4.88
7,Broken Hill,2173911,2,AU,1659469762,60,-31.95,141.4333,57.29,21.68
8,Punta Arenas,3874787,100,CL,1659469699,87,-53.15,-70.9167,44.62,5.75
9,Ushuaia,3833367,75,AR,1659469762,81,-54.8,-68.3,38.86,11.5
10,Maniitsoq,3421982,99,GL,1659469763,94,65.4167,-52.9,43.05,8.32
11,Bredasdorp,1015776,73,ZA,1659469763,86,-34.5322,20.0403,50.34,2.44
12,Panna,1260454,100,IN,1659469763,73,24.7167,80.2,81.88,3.87
13,Lavrentiya,4031637,3,RU,1659469764,56,65.5833,-171.0,55.76,7.38
14,Jamestown,5122534,75,US,1659469554,54,42.097,-79.2353,77.52,14.97
15,Bogandé,2362323,100,BF,1659469764,74,12.9714,-0.1436,79.65,3.06
16,Cape Town,3369157,0,ZA,1659469664,89,-33.9258,18.4232,56.91,8.05
17,Albany,5106841,7,US,1659469764,55,42.6001,-73.9662,88.21,3.0
18,Boa Vista,3664980,75,BR,1659469765,58,2.8197,-60.6733,87.78,5.75
19,Saint-Pierre,935214,0,RE,1659469765,79,-21.3393,55.4781,65.91,5.75
20,Avarua,4035715,100,CK,1659469765,60,-21.2078,-159.775,75.25,9.22
21,Hermanus,3366880,15,ZA,1659469766,76,-34.4187,19.2345,52.81,1.97
22,Cidreira,3466165,16,BR,1659469766,83,-30.1811,-50.2056,61.65,9.31
23,Hailar,2037078,0,CN,1659469766,87,49.2,119.7,64.9,6.76
24,Kruisfontein,986717,0,ZA,1659469766,62,-34.0033,24.7314,54.68,1.48
25,Coromandel,3465487,78,BR,1659469767,38,-18.4733,-47.2003,76.12,10.65
26,Steinbach am Taunus,2828737,0,DE,1659469767,43,50.1667,8.5667,80.11,4.61
27,Morros,3394372,45,BR,1659469767,20,-9.4467,-46.3003,91.06,8.97
28,Yellowknife,6185377,20,CA,1659469768,34,62.456,-114.3525,66.72,5.75
29,Cabedelo,3404558,9,BR,1659469768,83,-6.9811,-34.8339,77.67,6.87
30,Yurga,1485724,1,RU,1659469768,85,55.7231,84.8861,50.25,2.59
31,Nūzvīd,1261110,74,IN,1659469769,86,16.7833,80.85,76.05,4.83
32,Palu,1633034,81,ID,1659469769,95,-0.8917,119.8707,74.25,2.75
33,Bilma,2446796,6,NE,1659469556,31,18.6853,12.9164,94.05,6.6
34,Kholm,549786,19,RU,1659469769,96,59.2667,32.85,57.07,3.29
35,Castro,3466704,0,BR,1659469735,49,-24.7911,-50.0119,71.47,1.25
36,Lamu,189741,5,KE,1659469769,79,-2.2717,40.902,73.62,16.04
37,Ojinaga,3994469,0,MX,1659469770,28,29.5667,-104.4167,99.41,3.44
38,Bluff,2206939,54,NZ,1659469770,73,-46.6,168.3333,44.8,33.31
39,Tuatapere,2180815,71,NZ,1659469770,80,-46.1333,167.6833,47.86,12.82
40,Quelimane,1028434,40,MZ,1659469771,78,-17.8786,36.8883,73.35,6.91
41,Rikitea,4030556,98,PF,1659469771,78,-23.1203,-134.9692,72.01,21.63
42,Comodoro Rivadavia,3860443,0,AR,1659469771,40,-45.8667,-67.5,51.66,13.8
43,Tiksi,2015306,100,RU,1659469772,81,71.6872,128.8694,40.08,3.11
44,Henties Bay,3356832,0,NA,1659469772,82,-22.116,14.2845,53.91,7.67
45,Taltal,3870243,19,CL,1659469772,73,-25.4,-70.4833,58.23,3.58
46,Skibbereen,2961459,100,IE,1659469773,90,51.55,-9.2667,63.1,15.39
47,Saint Paul Harbor,5866583,0,US,1659469773,52,57.79,-152.4072,63.91,19.57
48,Nizwá,286987,54,OM,1659469773,56,22.9333,57.5333,89.26,4.09
49,Altay,1529651,17,CN,1659469773,54,47.8667,88.1167,62.01,5.77
50,Lunenburg,6062069,100,CA,1659469774,98,44.3835,-64.3155,71.49,3.44
51,Kloulklubed,7671223,100,PW,1659469774,75,7.0419,134.2556,75.7,9.48
52,Port Elizabeth,964420,0,ZA,1659469479,83,-33.918,25.5701,56.32,2.3
53,Jiayuguan City,1280957,7,CN,1659469774,61,39.8167,98.3,69.31,3.18
54,Hue,1580240,20,VN,1659469775,83,16.4667,107.6,78.91,4.61
